iata,Year,Month,average_delay,volumne,airport,city,state,lat,long
CHA,1999,6,-15.0,1,Lovell ,Chattanooga,TN,35.03526833,-85.20378778
CLE,1999,6,9.8,5,Cleveland-Hopkins Intl,Cleveland,OH,41.41089417,-81.84939667
CLT,1999,6,0.411764705882,17,Charlotte/Douglas International,Charlotte,NC,35.21401111,-80.94312583
CMH,1999,6,20.3333333333,3,Port Columbus Intl,Columbus,OH,39.99798528,-82.89188278
CRP,1999,6,-0.5,2,Corpus Christi International,Corpus Christi,TX,27.77036083,-97.50121528
CVG,1999,6,-3.22222222222,9,Cincinnati Northern Kentucky Intl,Covington,KY,39.04614278,-84.6621725
DAL,1999,6,-3.25,4,Dallas Love ,Dallas,TX,32.84711389,-96.85177222
DAY,1999,6,17.0,1,James M Cox Dayton Intl,Dayton,OH,39.90237583,-84.219375
DCA,1999,6,0.5,4,Ronald Reagan Washington National,Arlington,VA,38.85208333,-77.03772222
DEN,1999,6,16.5333333333,15,Denver Intl,Denver,CO,39.85840806,-104.6670019
DFW,1999,6,6.08333333333,24,Dallas-Fort Worth International,Dallas-Fort Worth,TX,32.89595056,-97.0372
DSM,1999,6,-3.0,1,Des Moines International,Des Moines,IA,41.53493306,-93.66068222
DTW,1999,6,2.14285714286,14,Detroit Metropolitan-Wayne County,Detroit,MI,42.21205889,-83.34883583
ELP,1999,6,4.0,1,El Paso International,El Paso,TX,31.80666667,-106.3778056
EWR,1999,6,35.75,12,Newark Intl,Newark,NJ,40.69249722,-74.16866056
FLL,1999,6,34.4,5,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,26.07258333,-80.15275
GEG,1999,6,30.0,1,Spokane Intl,Spokane,WA,47.61985556,-117.5338425
GFK,1999,6,72.0,1,Grand Forks International,Grand Forks,ND,47.949255,-97.17611111
GRR,1999,6,6.0,1,Kent County International,Grand Rapids,MI,42.88081972,-85.52276778
GSO,1999,6,54.5,2,Piedmont Triad International,Greensboro,NC,36.09774694,-79.9372975
HOU,1999,6,36.25,4,William P Hobby,Houston,TX,29.64541861,-95.27888889
HSV,1999,6,-7.0,1,Huntsville International ,Huntsville,AL,34.6404475,-86.77310944
IAD,1999,6,-6.66666666667,3,Washington Dulles International,Chantilly,VA,38.94453194,-77.45580972
IAH,1999,6,9.08333333333,12,George Bush Intercontinental,Houston,TX,29.98047222,-95.33972222
ICT,1999,6,12.0,1,Wichita Mid-Continent,Wichita,KS,37.64995889,-97.43304583
IND,1999,6,20.5,4,Indianapolis International,Indianapolis,IN,39.71732917,-86.29438417
JAC,1999,6,4.0,1,Jackson Hole,Jackson,WY,43.60732417,-110.7377389
JAN,1999,6,-9.0,1,Jackson International,Jackson,MS,32.31116667,-90.07588889
JFK,1999,6,21.5,2,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
LAS,1999,6,7.6,10,McCarran International,Las Vegas,NV,36.08036111,-115.1523333
LAX,1999,6,18.6875,16,Los Angeles International,Los Angeles,CA,33.94253611,-118.4080744
LGA,1999,6,1.4,10,LaGuardia,New York,NY,40.77724306,-73.87260917
MAF,1999,6,4.0,1,Midland International,Midland,TX,31.94252778,-102.2019139
MCI,1999,6,2.66666666667,6,Kansas City International,Kansas City,MO,39.29760528,-94.71390556
MCO,1999,6,6.0,7,Orlando International,Orlando,FL,28.42888889,-81.31602778
MDW,1999,6,15.6666666667,3,Chicago Midway,Chicago,IL,41.7859825,-87.75242444
MEM,1999,6,19.0,6,Memphis International,Memphis,TN,35.04241667,-89.97666667
MFE,1999,6,37.0,1,McAllen Miller International,McAllen,TX,26.17583333,-98.23861111
MHT,1999,6,-9.0,1,Manchester,Manchester,NH,42.93451639,-71.43705583
MIA,1999,6,15.3333333333,3,Miami International,Miami,FL,25.79325,-80.29055556
MKE,1999,6,-9.0,1,General Mitchell International,Milwaukee,WI,42.94722222,-87.89658333
MLI,1999,6,13.0,1,Quad City,Moline,IL,41.44852639,-90.50753917
MRY,1999,6,-4.0,1,Monterey Peninsula,Monterey,CA,36.5869825,-121.8429478
MSP,1999,6,2.27272727273,11,Minneapolis-St Paul Intl,Minneapolis,MN,44.88054694,-93.2169225
MSY,1999,6,25.7142857143,7,New Orleans International ,New Orleans,LA,29.99338889,-90.25802778
MYR,1999,6,-6.0,1,Myrtle Beach International,Myrtle Beach,SC,33.67975,-78.92833333
OAK,1999,6,0.714285714286,7,Metropolitan Oakland International,Oakland,CA,37.72129083,-122.2207167
OKC,1999,6,4.0,1,Will Rogers World,Oklahoma City,OK,35.39308833,-97.60073389
OMA,1999,6,-4.0,1,Eppley Airfield,Omaha,NE,41.30251861,-95.89417306
ONT,1999,6,2.75,4,Ontario International,Ontario,CA,34.056,-117.6011944
ORD,1999,6,14.3333333333,21,Chicago O'Hare International,Chicago,IL,41.979595,-87.90446417
ORF,1999,6,-16.0,1,Norfolk International,Norfolk,VA,36.89461111,-76.20122222
PBI,1999,6,-0.333333333333,3,Palm Beach International,West Palm Beach,FL,26.68316194,-80.09559417
PDX,1999,6,13.0,8,Portland Intl,Portland,OR,45.58872222,-122.5975
PHL,1999,6,49.75,12,Philadelphia Intl,Philadelphia,PA,39.87195278,-75.24114083
PHX,1999,6,12.4615384615,13,Phoenix Sky Harbor International,Phoenix,AZ,33.43416667,-112.0080556
PIT,1999,6,17.6666666667,6,Pittsburgh International,Pittsburgh,PA,40.49146583,-80.23287083
